
#GA 4.1.0RePy - GRAPH 'max_max_quality' OPENED, 28.02.22-01:38:29#
42, -2.5995648766588677e-14
43, -2.307920338687839e-14
44, -2.307920338687839e-14
45, -2.415060976258932e-15
46, -2.409044011959243e-15
47, -2.409044011959243e-15
48, -9.509264615740801e-16
49, -1.5358652504870667e-16
50, -1.5358652504870667e-16
51, -1.4138399358064518e-16
52, -1.413808253327074e-16
53, -1.218310290887178e-16
54, -1.399728367827413e-17
55, -1.3984659365709518e-17
56, -9.374187755097134e-18
57, -6.6276555395756324e-18
58, -6.6276555395756324e-18
59, -6.6276555395756324e-18
60, -6.6276555395756324e-18
61, -6.6276555395756324e-18
62, -6.6276555395756324e-18
63, -6.6276555395756324e-18
64, -6.4778285437411295e-18
65, -6.2718782179825995e-18
66, -6.2718782179825995e-18
67, -4.9959146727495616e-20
68, -4.9959146727495616e-20
69, -4.9959146727495616e-20
70, -4.9959146727495616e-20
71, -3.139434324950021e-20
72, -3.139434324950021e-20
73, -3.139434324950021e-20
74, -3.139434324950021e-20
75, -2.8261260768187977e-20
76, -6.083419086151645e-21
77, -5.094225048161811e-22
78, -5.094225048161811e-22
79, -5.094225048161811e-22
80, -5.094225048161811e-22
81, -5.094225048161811e-22
82, -5.094225048161811e-22
83, -5.094225048161811e-22
84, -5.094225048161811e-22
85, -5.094225048161811e-22
86, -5.094225048161811e-22
87, -5.094225048161811e-22
88, -1.619528361861207e-23
89, -1.619528361861207e-23
90, -3.0645991878997007e-24
91, -3.0645991878997007e-24
92, -3.0645991878997007e-24
93, -3.0645991878997007e-24
94, -3.0645991878997007e-24
95, -3.0645991878997007e-24
96, -3.0645991878997007e-24
97, -3.0645991878997007e-24
98, -3.0645991878997007e-24
99, -3.0645991878997007e-24
100, -5.847991551193457e-25
#GA 4.1.0RePy - GRAPH 'max_max_quality' OPENED, 28.02.22-12:58:31#
0, -0.0009350468834297353
1, -0.0009350468834297353
2, -0.0009350468834297353
3, -0.0009350468834297353
4, -0.0009350468834297353
5, -0.00010066622358204925
6, -0.00010066622358204925
7, -0.00010066622358204925
8, -0.00010066622358204925
9, -0.00010066622358204925
10, -0.00010066622358204925
11, -9.652640949058405e-05
12, -3.4999609641041233e-09
13, -3.4999609641041233e-09
14, -3.499960830009155e-09
15, -3.499954011661711e-09
16, -3.4297913125848164e-09
17, -3.4297913125848164e-09
18, -3.4297824486029148e-09
19, -3.36141283898422e-09
20, -4.184202354321358e-10
21, -4.184202354321358e-10
22, -4.184202354321358e-10
23, -4.184202354321358e-10
24, -4.123921988874881e-10
25, -3.958457285654006e-10
26, -3.9440938216167194e-10
27, -3.9440938216167194e-10
28, -1.820380984860964e-12
29, -1.820380984860964e-12
30, -1.5210963665609396e-12
31, -1.5210963665609396e-12
32, -1.5210963665609396e-12
33, -1.5210963665609396e-12
34, -1.5210963665609396e-12
35, -1.746365267919239e-15
36, -1.746365267919239e-15
37, -1.746365267919239e-15
38, -1.746365267919239e-15
39, -1.746365267919239e-15
40, -1.746365267919239e-15
41, -1.746365267919239e-15
42, -1.7342238662911374e-15
43, -1.6860826670498538e-15
44, -2.0581033560618993e-17
45, -2.0581033560618993e-17
46, -2.0581033560618993e-17
47, -1.1373615851939175e-17
48, -1.0390343291323822e-17
49, -1.0390343291323822e-17
50, -1.0390343291323822e-17
51, -4.2598561924648445e-18
52, -4.259819529570517e-18
53, -2.195924758859283e-18
54, -2.195924758859283e-18
55, -2.1959221265385162e-18
56, -1.0094209380168482e-19
57, -1.0094209380168482e-19
58, -1.0089694899601858e-19
59, -1.0089694899601858e-19
60, -1.0089694899601858e-19
61, -9.80731826369323e-20
62, -9.80731826369323e-20
63, -9.80731826369323e-20
64, -9.80731826369323e-20
65, -9.80731826369323e-20
66, -9.80731826369323e-20
67, -3.97653580575944e-21
68, -3.97653580575944e-21
69, -7.103061749332878e-22
70, -7.103061749332878e-22
71, -7.103061749332878e-22
72, -4.888659666065921e-22
73, -4.888659666065921e-22
74, -1.5649514145639438e-23
75, -1.5649514145639438e-23
76, -1.5649514145639438e-23
77, -1.5649514145639438e-23
78, -1.5649514145639438e-23
79, -1.5649514145639438e-23
80, -2.699876448118913e-24
81, -2.699876448118913e-24
82, -2.699876448118913e-24
83, -2.699876448118913e-24
84, -2.6707674807162576e-24
85, -2.6707674807162576e-24
86, -2.5630090810630674e-25
87, -2.5630090810630674e-25
88, -4.930380657631324e-26
89, -4.930380657631324e-26
90, -4.930380657631324e-26
91, -4.930380657631324e-26
92, -4.930380657631324e-26
93, -4.930380657631324e-26
94, -4.930380657631324e-26
95, -4.930380657631324e-26
96, -4.930380657631324e-26
97, -4.930380657631324e-26
98, -4.930380657631324e-26
99, -2.279808016088724e-26
100, -2.279808016088724e-26
#GA 4.1.0RePy - GRAPH 'max_max_quality' OPENED, 28.02.22-13:00:26#
0, -0.031056680774344977
1, -1.4945579205800045e-05
2, -1.4945579205800045e-05
3, -1.4819398661948392e-05
4, -1.4819173429297993e-05
5, -1.4749892250230033e-05
6, -3.7909459036294803e-06
7, -2.5710121881463954e-06
8, -7.484239256480766e-07
9, -7.484239256480766e-07
10, -2.427538574632071e-07
11, -6.391428568162369e-08
12, -1.0043155339362942e-08
13, -1.0043064568790457e-08
14, -6.584020011550109e-09
15, -6.584020011550109e-09
16, -7.917057628447617e-15
17, -7.915439213519252e-15
18, -7.915439213519252e-15
19, -7.915439213519252e-15
20, -7.915439213519252e-15
21, -7.915439213519252e-15
22, -1.7668689023769677e-15
23, -1.7668689023769677e-15
24, -2.0694212192047692e-16
25, -2.0694212192047692e-16
26, -2.0694212192047692e-16
27, -2.0694212192047692e-16
28, -2.0694212192047692e-16
29, -2.0694212192047692e-16
30, -2.0694212192047692e-16
31, -3.526069157087014e-17
32, -2.2790294499852392e-17
33, -2.2790294499852392e-17
34, -2.2790294499852392e-17
35, -2.2790294499852392e-17
36, -2.2790294499852392e-17
37, -2.2790294499852392e-17
38, -2.2790294499852392e-17
39, -2.2790294499852392e-17
40, -2.2790294499852392e-17
41, -2.2790294499852392e-17
42, -2.2790294499852392e-17
43, -2.2790294499852392e-17
44, -3.182036620756355e-19
45, -1.3835508116307704e-19
46, -1.3835508116307704e-19
47, -1.3835508116307704e-19
48, -7.459852121631499e-20
49, -7.459852121631499e-20
50, -7.459852121631499e-20
51, -7.459852121631499e-20
52, -4.111973448410411e-22
53, -4.111973448410411e-22
54, -4.111973448410411e-22
55, -4.111973448410411e-22
56, -4.111973448410411e-22
57, -4.111973448410411e-22
58, -4.111973448410411e-22
59, -4.111973448410411e-22
60, -4.111973448410411e-22
61, -4.111973448410411e-22
62, -4.111973448410411e-22
63, -4.111973448410411e-22
64, -4.111973448410411e-22
65, -4.111973448410411e-22
66, -4.111973448410411e-22
67, -4.111973448410411e-22
68, -4.111973448410411e-22
69, -3.3450105567232566e-22
70, -3.3450105567232566e-22
71, -3.3450105567232566e-22
72, -3.3450105567232566e-22
73, -3.3450105567232566e-22
74, -3.3450105567232566e-22
75, -3.3450105567232566e-22
76, -5.502210939468836e-24
77, -5.502210939468836e-24
78, -5.502210939468836e-24
79, -5.502210939468836e-24
80, -5.502210939468836e-24
81, -5.502210939468836e-24
82, -5.29993359273478e-24
83, -5.29993359273478e-24
84, -5.29993359273478e-24
85, -5.29993359273478e-24
86, -5.29993359273478e-24
87, -5.29993359273478e-24
88, -8.207308857919407e-27
89, -8.207308857919407e-27
90, -8.207308857919407e-27
91, -8.207308857919407e-27
92, -8.077935669463161e-28
93, -8.077935669463161e-28
94, -8.077935669463161e-28
95, -8.077935669463161e-28
96, -8.077935669463161e-28
97, -8.077935669463161e-28
98, -8.077935669463161e-28
99, -8.077935669463161e-28
100, -8.077935669463161e-28
